Iy,PF,e,dIf,If
3,66,34,383,1563
3,68,32,372,1552
3,7,3,36,154
3,72,28,338,1518
3,74,26,317,1497
3,76,24,301,1481
3,78,22,29,147
3,8,2,28,146
3,82,18,25,143
3,84,16,221,1401
3,86,14,192,1372
3,88,12,165,1345
3,9,1,138,1318
3,92,8,98,1278
3,94,6,57,1237
3,96,4,37,1217
3,98,2,37,1217
3,1,0,37,1217
31,66,34,397,1577
31,68,32,414,1594
31,7,3,442,1622
31,72,28,369,1549
31,74,26,385,1565
31,76,24,31,149
31,78,22,325,1505
31,8,2,349,1529
31,82,18,27,145
31,84,16,277,1457
31,86,14,193,1373
31,88,12,2,138
31,9,1,216,1396
31,92,8,118,1298
31,94,6,124,1304
31,96,4,139,1319
31,98,2,139,1319
31,1,0,139,1319
32,66,34,393,1573
32,68,32,409,1589
32,7,3,436,1616
32,72,28,361,1541
32,74,26,377,1557
32,76,24,306,1486
32,78,22,318,1498
32,8,2,338,1518
32,82,18,258,1438
32,84,16,266,1446
32,86,14,183,1363
32,88,12,189,1369
32,9,1,202,1382
32,92,8,102,1282
32,94,6,11,129
32,96,4,118,1298
32,98,2,118,1298
32,1,0,118,1298
33,66,34,389,1569
33,68,32,405,1585
33,7,3,43,161
33,72,28,355,1535
33,74,26,369,1549
33,76,24,303,1483
33,78,22,312,1492
33,8,2,328,1508
33,82,18,25,143
33,84,16,255,1435
33,86,14,174,1354
33,88,12,181,1361
33,9,1,188,1368
33,92,8,91,1271
33,94,6,95,1275
33,96,4,98,1278
33,98,2,98,1278
33,1,0,98,1278
34,66,34,385,1565
34,68,32,402,1582
34,7,3,424,1604
34,72,28,345,1525
34,74,26,361,1541
34,76,24,299,1479
34,78,22,306,1486
34,8,2,317,1497
34,82,18,238,1418
34,84,16,245,1425
34,86,14,164,1344
34,88,12,17,135
34,9,1,174,1354
34,92,8,74,1254
34,94,6,8,126
34,96,4,77,1257
34,98,2,77,1257
34,1,0,77,1257
35,66,34,372,1552
35,68,32,395,1575
35,7,3,418,1598
35,72,28,328,1508
35,74,26,349,1529
35,76,24,285,1465
35,78,22,296,1476
35,8,2,306,1486
35,82,18,216,1396
35,84,16,225,1405
35,86,14,142,1322
35,88,12,151,1331
35,9,1,16,134
35,92,8,45,1225
35,94,6,52,1232
35,96,4,56,1236
35,98,2,56,1236
35,1,0,56,1236
36,66,34,457,1637
36,68,32,476,1656
38,92,8,112,1292
38,94,6,116,1296
38,96,4,119,1299
38,98,2,119,1299
38,1,0,119,1299
37,92,8,123,1303
37,94,6,131,1311
36,92,8,14,132
37,96,4,14,132
37,98,2,14,132
37,1,0,14,132
36,94,6,146,1326
36,96,4,162,1342
36,98,2,162,1342
36,1,0,162,1342
38,86,14,2,138
37,86,14,21,139
38,88,12,21,139
36,86,14,22,14
37,88,12,221,1401
38,9,1,222,1402
36,88,12,235,1415
37,9,1,241,1421
36,9,1,261,1441
38,82,18,287,1467
37,82,18,295,1475
38,84,16,299,1479
36,82,18,307,1487
37,84,16,311,1491
36,84,16,322,1502
38,76,24,345,1525
37,76,24,353,1533
36,76,24,361,1541
38,78,22,361,1541
37,78,22,367,1547
36,78,22,377,1557
38,8,2,383,1563
37,8,2,395,1575
36,8,2,406,1586
38,72,28,412,1592
37,72,28,419,1599
36,72,28,427,1607
38,74,26,427,1607
37,74,26,436,1616
39,66,34,444,1624
36,74,26,445,1625
38,66,34,449,1629
37,66,34,453,1633
39,68,32,462,1642
38,68,32,466,1646
37,68,32,47,165
39,7,3,486,1666
38,7,3,492,1672
37,7,3,499,1679
36,7,3,505,1685
39,72,28,402,1582
39,74,26,418,1598
39,76,24,337,1517
39,78,22,353,1533
39,8,2,372,1552
39,82,18,274,1454
39,84,16,288,1468
4,92,8,64,1244
4,94,6,72,1252
4,96,4,76,1256
4,98,2,76,1256
4,1,0,76,1256
39,92,8,95,1275
39,96,4,97,1277
39,98,2,97,1277
39,1,0,97,1277
39,94,6,1,128
41,92,8,162,1342
4,86,14,165,1345
41,94,6,168,1348
4,88,12,174,1354
4,9,1,183,1363
41,96,4,184,1364
41,98,2,184,1364
41,1,0,184,1364
39,86,14,19,137
39,88,12,197,1377
39,9,1,202,1382
4,82,18,25,143
41,86,14,263,1443
4,84,16,27,145
41,88,12,278,1458
41,9,1,308,1488
4,76,24,317,1497
4,78,22,338,1518
4,8,2,36,154
41,82,18,361,1541
41,84,16,378,1558
4,72,28,383,1563
4,74,26,406,1586
41,76,24,418,1598
4,66,34,43,161
41,78,22,436,1616
4,68,32,455,1635
41,8,2,467,1647
4,7,3,479,1659
41,72,28,489,1669
41,74,26,508,1688
42,66,34,517,1697
41,66,34,522,1702
42,68,32,534,1714
41,68,32,541,1721
41,7,3,572,1752
43,92,8,133,1313
43,94,6,137,1317
43,96,4,14,132
43,98,2,14,132
43,1,0,14,132
42,92,8,145,1325
42,94,6,153,1333
42,96,4,162,1342
42,98,2,162,1342
42,1,0,162,1342
43,86,14,235,1415
43,88,12,246,1426
42,86,14,249,1429
43,9,1,257,1437
42,88,12,26,144
42,9,1,282,1462
43,82,18,34,152
42,82,18,349,1529
43,84,16,354,1534
42,84,16,366,1546
43,76,24,402,1582
42,76,24,41,159
43,78,22,419,1599
42,78,22,425,1605
43,8,2,442,1622
42,8,2,455,1635
43,72,28,473,1653
42,72,28,48,166
43,74,26,489,1669
42,74,26,499,1679
43,66,34,512,1692
43,68,32,531,1711
43,7,3,559,1739
42,7,3,565,1745
44,66,34,507,1687
44,68,32,526,1706
44,7,3,552,1732
44,72,28,462,1642
44,74,26,48,166
44,76,24,394,1574
44,78,22,41,159
44,8,2,43,161
44,82,18,326,1506
44,84,16,341,1521
44,86,14,222,1402
44,88,12,228,1408
44,9,1,231,1411
44,92,8,116,1296
44,94,6,121,1301
44,96,4,118,1298
44,98,2,118,1298
44,1,0,118,1298
45,66,34,492,1672
45,68,32,519,1699
45,7,3,545,1725
45,72,28,442,1622
45,74,26,467,1647
45,76,24,372,1552
45,78,22,395,1575
45,8,2,418,1598
45,82,18,301,1481
45,84,16,322,1502
45,86,14,188,1368
45,88,12,197,1377
45,9,1,206,1386
45,92,8,84,1264
45,94,6,92,1272
45,96,4,96,1276
45,98,2,96,1276
45,1,0,96,1276
46,66,34,59,177
46,68,32,61,179
46,7,3,644,1824
46,72,28,556,1736
46,74,26,576,1756
46,76,24,475,1655
46,78,22,494,1674
46,8,2,526,1706
46,82,18,406,1586
46,84,16,415,1595
46,87,13,308,1488
46,89,11,316,1496
46,91,9,181,1361
46,93,7,188,1368
46,95,5,207,1387
46,97,3,207,1387
46,99,1,207,1387
47,65,35,608,1788
47,67,33,595,1775
47,69,31,615,1795
47,71,29,536,1716
47,73,27,554,1734
47,75,25,587,1767
47,77,23,473,1653
47,79,21,49,167
47,81,19,39,157
47,83,17,396,1576
47,85,15,413,1593
47,87,13,288,1468
47,89,11,297,1477
47,91,9,165,1345
47,93,7,17,135
47,95,5,185,1365
47,97,3,185,1365
47,99,1,185,1365
48,65,35,622,1802
48,67,33,592,1772
48,69,31,61,179
48,71,29,527,1707
48,73,27,546,1726
48,75,25,573,1753
48,77,23,466,1646
48,79,21,476,1656
48,81,19,378,1558
48,83,17,386,1566
48,85,15,395,1575
48,87,13,274,1454
48,89,11,278,1458
48,91,9,15,133
48,93,7,157,1337
48,95,5,162,1342
48,97,3,162,1342
48,99,1,162,1342
49,65,35,637,1817
49,67,33,585,1765
49,69,31,605,1785
49,71,29,517,1697
49,73,27,536,1716
49,75,25,559,1739
49,77,23,453,1633
49,79,21,462,1642
49,81,19,365,1545
49,83,17,373,1553
49,85,15,378,1558
49,87,13,253,1433
49,89,11,26,144
49,91,9,134,1314
49,93,7,14,132
49,95,5,14,132
49,97,3,14,132
49,99,1,14,132
5,65,35,651,1831
5,67,33,573,1753
5,69,31,601,1781
5,71,29,492,1672
5,73,27,519,1699
5,75,25,545,1725
5,77,23,43,161
5,79,21,442,1622
5,81,19,338,1518
5,83,17,349,1529
5,85,15,36,154
5,87,13,216,1396
5,89,11,225,1405
5,91,9,1,128
5,93,7,109,1289
5,95,5,117,1297
5,97,3,117,1297
5,99,1,117,1297
51,65,35,666,1846
51,67,33,668,1848
51,69,31,69,187
51,71,29,605,1785
51,73,27,615,1795
51,75,25,637,1817
51,77,23,536,1716
51,79,21,546,1726
51,81,19,436,1616
51,83,17,454,1634
51,85,15,487,1667
51,87,13,338,1518
51,89,11,347,1527
51,91,9,208,1388
51,93,7,222,1402
51,95,5,252,1432
51,97,3,252,1432
51,99,1,252,1432
52,65,35,682,1862
52,67,33,66,184
52,69,31,679,1859
52,71,29,595,1775
52,73,27,603,1783
52,75,25,622,1802
52,77,23,524,1704
52,79,21,536,1716
52,81,19,424,1604
52,83,17,437,1617
52,85,15,463,1643
52,87,13,32,15
52,89,11,331,1511
52,91,9,192,1372
52,93,7,201,1381
52,95,5,223,1403
52,97,3,223,1403
52,99,1,223,1403
53,65,35,697,1877
53,67,33,656,1836
53,69,31,668,1848
53,71,29,585,1765
53,73,27,595,1775
53,75,25,608,1788
53,77,23,513,1693
53,79,21,527,1707
53,81,19,411,1591
53,83,17,423,1603
53,85,15,438,1618
53,87,13,305,1485
53,89,11,315,1495
53,91,9,176,1356
53,93,7,185,1365
53,95,5,195,1375
53,97,3,195,1375
53,99,1,195,1375
54,65,35,713,1893
54,67,33,647,1827
54,69,31,657,1837
54,71,29,575,1755
54,73,27,585,1765
54,75,25,593,1773
54,77,23,499,1679
54,79,21,517,1697
54,81,19,398,1578
54,83,17,407,1587
54,85,15,414,1594
54,87,13,286,1466
54,89,11,3,148
54,91,9,159,1339
54,93,7,165,1345
54,95,5,166,1346
54,97,3,166,1346
54,99,1,166,1346
55,65,35,728,1908
55,67,33,629,1809
55,69,31,644,1824
55,71,29,552,1732
55,73,27,565,1745
55,75,25,579,1759
55,77,23,474,1654
55,79,21,499,1679
55,81,19,366,1546
55,83,17,377,1557
55,85,15,389,1569
55,87,13,25,143
55,89,11,27,145
55,91,9,121,1301
55,93,7,13,131
55,95,5,138,1318
55,97,3,138,1318
55,99,1,138,1318
56,65,35,736,1916
56,67,33,729,1909
56,69,31,74,192
56,71,29,652,1832
56,73,27,674,1854
56,75,25,713,1893
56,77,23,585,1765
56,79,21,606,1786
56,81,19,49,167
56,83,17,499,1679
56,85,15,526,1706
56,87,13,378,1558
56,89,11,395,1575
56,91,9,246,1426
56,93,7,254,1434
56,95,5,277,1457
56,97,3,277,1457
56,99,1,277,1457
57,65,35,744,1924
57,67,33,72,19
57,69,31,735,1915
57,71,29,641,1821
57,73,27,661,1841
57,75,25,697,1877
57,77,23,573,1753
57,79,21,591,1771
57,81,19,472,1652
57,83,17,481,1661
57,85,15,506,1686
57,87,13,359,1539
57,89,11,375,1555
57,91,9,226,1406
57,93,7,23,141
57,95,5,248,1428
57,97,3,248,1428
57,99,1,248,1428
58,65,35,753,1933
58,67,33,711,1891
58,69,31,729,1909
58,71,29,631,1811
58,73,27,652,1832
58,75,25,682,1862
58,77,23,565,1745
58,79,21,575,1755
58,81,19,455,1635
58,83,17,471,1651
58,85,15,487,1667
58,87,13,347,1527
58,89,11,355,1535
58,91,9,206,1386
58,93,7,214,1394
58,95,5,218,1398
58,97,3,218,1398
58,99,1,218,1398
59,65,35,761,1941
59,67,33,701,1881
59,69,31,723,1903
59,71,29,621,1801
59,73,27,641,1821
59,75,25,666,1846
59,77,23,551,1731
59,79,21,56,174
59,81,19,437,1617
59,83,17,454,1634
59,85,15,467,1647
59,87,13,327,1507
59,89,11,334,1514
59,91,9,185,1365
59,93,7,192,1372
59,95,5,189,1369
59,97,3,189,1369
59,99,1,189,1369
6,65,35,769,1949
6,67,33,682,1862
6,69,31,713,1893
6,71,29,593,1773
6,73,27,622,1802
6,75,25,651,1831
6,77,23,525,1705
6,79,21,538,1718
6,81,19,401,1581
6,83,17,424,1604
6,85,15,448,1628
6,87,13,29,147
6,89,11,301,1481
6,91,9,142,1322
6,93,7,151,1331
6,95,5,16,134
6,97,3,16,134
6,99,1,16,134
